"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN099999901","PORT BLAIR, IN","2000-11-26","77","80",
"IN099999901","PORT BLAIR, IN","2000-11-27","80","85",
"IN099999901","PORT BLAIR, IN","2000-11-28","81","87","73"
"IN099999901","PORT BLAIR, IN","2000-11-29","79","87",
"IN099999901","PORT BLAIR, IN","2000-11-30","79",,"71"
"IN099999901","PORT BLAIR, IN","2000-12-01","81","89","73"
"IN099999901","PORT BLAIR, IN","2000-12-02","82","88","75"
"IN099999901","PORT BLAIR, IN","2000-12-03","80","88",
"IN099999901","PORT BLAIR, IN","2000-12-04","81","88","76"
"IN099999901","PORT BLAIR, IN","2000-12-05","81","87","77"
"IN099999901","PORT BLAIR, IN","2000-12-06","82","87","74"
"IN099999901","PORT BLAIR, IN","2000-12-07","80","87",
"IN099999901","PORT BLAIR, IN","2000-12-08","80","87",
"IN099999901","PORT BLAIR, IN","2000-12-09","78","86","68"
"IN099999901","PORT BLAIR, IN","2000-12-10","80","85","72"
"IN099999901","PORT BLAIR, IN","2000-12-11","79","85",
"IN099999901","PORT BLAIR, IN","2000-12-12","78","86","75"
"IN099999901","PORT BLAIR, IN","2000-12-13","81","87","72"
"IN099999901","PORT BLAIR, IN","2000-12-14","81","87",
"IN099999901","PORT BLAIR, IN","2000-12-15","81","87",
"IN099999901","PORT BLAIR, IN","2000-12-16","82","87","74"
"IN099999901","PORT BLAIR, IN","2000-12-17","82","88",
"IN099999901","PORT BLAIR, IN","2000-12-18","82","87","77"
"IN099999901","PORT BLAIR, IN","2000-12-19","79","85",
"IN099999901","PORT BLAIR, IN","2000-12-20","80","85","72"
"IN099999901","PORT BLAIR, IN","2000-12-21","79","85",
"IN099999901","PORT BLAIR, IN","2000-12-22","79","82","72"
"IN099999901","PORT BLAIR, IN","2000-12-23","80","86",
"IN099999901","PORT BLAIR, IN","2000-12-24","82","87","75"
"IN099999901","PORT BLAIR, IN","2000-12-25","81","86","78"
"IN099999901","PORT BLAIR, IN","2000-12-26","81","85","77"
"IN099999901","PORT BLAIR, IN","2000-12-27","81","86",
"IN099999901","PORT BLAIR, IN","2000-12-28","81","86","76"
"IN099999901","PORT BLAIR, IN","2000-12-29","79","87",
"IN099999901","PORT BLAIR, IN","2000-12-30","80",,"70"
"IN099999901","PORT BLAIR, IN","2000-12-31","80","85",
"IN099999901","PORT BLAIR, IN","2001-01-01","81",,"76"
"IN099999901","PORT BLAIR, IN","2001-01-02","80",,
"IN099999901","PORT BLAIR, IN","2001-01-03","81",,"75"
"IN099999901","PORT BLAIR, IN","2001-01-04","77",,
"IN099999901","PORT BLAIR, IN","2001-01-05","79","86","69"
"IN099999901","PORT BLAIR, IN","2001-01-06","79",,"73"
"IN099999901","PORT BLAIR, IN","2001-01-07","79",,
"IN099999901","PORT BLAIR, IN","2001-01-08","78","87",
"IN099999901","PORT BLAIR, IN","2001-01-09","75","78",
"IN099999901","PORT BLAIR, IN","2001-01-10","79",,"72"
"IN099999901","PORT BLAIR, IN","2001-01-11","77",,"69"
"IN099999901","PORT BLAIR, IN","2001-01-12","74",,"67"
"IN099999901","PORT BLAIR, IN","2001-01-13","74","84",
"IN099999901","PORT BLAIR, IN","2001-01-14","75","83","67"
"IN099999901","PORT BLAIR, IN","2001-01-15","78",,"69"
"IN099999901","PORT BLAIR, IN","2001-01-16","77",,"73"
"IN099999901","PORT BLAIR, IN","2001-01-17","80","84","72"
"IN099999901","PORT BLAIR, IN","2001-01-18","80","87",
"IN099999901","PORT BLAIR, IN","2001-01-19","81",,"76"
"IN099999901","PORT BLAIR, IN","2001-01-20","81","88","78"
"IN099999901","PORT BLAIR, IN","2001-01-21","78","84",
"IN099999901","PORT BLAIR, IN","2001-01-22","79",,"72"
"IN099999901","PORT BLAIR, IN","2001-01-23","81",,"74"
"IN099999901","PORT BLAIR, IN","2001-01-24","80","86","74"
"IN099999901","PORT BLAIR, IN","2001-01-25","81","87",
"IN099999901","PORT BLAIR, IN","2001-01-26","78",,"73"
"IN099999901","PORT BLAIR, IN","2001-01-27","78",,"69"
"IN099999901","PORT BLAIR, IN","2001-01-28","79","85",
"IN099999901","PORT BLAIR, IN","2001-01-29","80","86","75"
"IN099999901","PORT BLAIR, IN","2001-01-30","80","86",
"IN099999901","PORT BLAIR, IN","2001-01-31","79","86",
"IN099999901","PORT BLAIR, IN","2001-02-01","80","89",
"IN099999901","PORT BLAIR, IN","2001-02-02","78","86","69"
"IN099999901","PORT BLAIR, IN","2001-02-03","78","86","68"
"IN099999901","PORT BLAIR, IN","2001-02-04","78",,"70"
"IN099999901","PORT BLAIR, IN","2001-02-05","79","86","70"
"IN099999901","PORT BLAIR, IN","2001-02-06","80",,"72"
"IN099999901","PORT BLAIR, IN","2001-02-07","78","88",
"IN099999901","PORT BLAIR, IN","2001-02-08","81",,"69"
"IN099999901","PORT BLAIR, IN","2001-02-09","76",,"69"
"IN099999901","PORT BLAIR, IN","2001-02-10","77","84","69"
"IN099999901","PORT BLAIR, IN","2001-02-11","77","85","68"
"IN099999901","PORT BLAIR, IN","2001-02-12","77","85",
"IN099999901","PORT BLAIR, IN","2001-02-13","78",,"69"
"IN099999901","PORT BLAIR, IN","2001-02-14","79","87",
"IN099999901","PORT BLAIR, IN","2001-02-15","81","88","76"
"IN099999901","PORT BLAIR, IN","2001-02-16","81","87","74"
"IN099999901","PORT BLAIR, IN","2001-02-17","82",,"77"
"IN099999901","PORT BLAIR, IN","2001-02-18","80","87",
"IN099999901","PORT BLAIR, IN","2001-02-19","81","88","72"
"IN099999901","PORT BLAIR, IN","2001-02-20","80","90","70"
"IN099999901","PORT BLAIR, IN","2001-02-21","79","91","69"
"IN099999901","PORT BLAIR, IN","2001-02-22","81","89","70"
"IN099999901","PORT BLAIR, IN","2001-02-23","80","88","71"
"IN099999901","PORT BLAIR, IN","2001-02-24","79",,"70"
"IN099999901","PORT BLAIR, IN","2001-02-25","77",,
"IN099999901","PORT BLAIR, IN","2001-02-26","76","85",
"IN099999901","PORT BLAIR, IN","2001-02-27","78","87",
"IN099999901","PORT BLAIR, IN","2001-02-28","79",,
"IN099999901","PORT BLAIR, IN","2001-03-01","82","89","70"
"IN099999901","PORT BLAIR, IN","2001-03-02","82","89",
"IN099999901","PORT BLAIR, IN","2001-03-03","81","89",
"IN099999901","PORT BLAIR, IN","2001-03-04","82",,"73"
"IN099999901","PORT BLAIR, IN","2001-03-05","82","91",
"IN099999901","PORT BLAIR, IN","2001-03-06","80",,
"IN099999901","PORT BLAIR, IN","2001-03-07","80","89","70"
